72194	84961
50762	26270
11855	394
218850	23272
219181	11215
628813	284099
218035	27072
233060	84911
93840	57216
22249	10497
215814	25901
93707	56098
14056	2146
665563	441024
109254	84830
16516	3772
52397	84146
13194	1642
52440	8887
69740	51611
66270	54463
16871	8022
13595	10682
23857	9988
217302	350383
329972	374955
233824	91949
230657	51249
15512	3306
384244	100288524
14791	10436
21855	10245
433813	126789
259277	11202
27060	10312
72193	9169
192156	4597
75581	285525
71240	114881
68159	415117
12010	567
19921	6143
269397	26039
56442	57515
68236	149699
239283	27199
21888	7091
16147	3549
105243	6550
244209	120227
75437	284067
383348	57528
19143	6768
214425	8483
20231	390010
329628	79633
57260	56413
26565	8399
258347	282770
14367	7855
20908	6809
320438	29929
76561	51375
60532	9589
81630	9278
258650	135941
258649	135941
258648	135941
109205	55084
57811	5995
213773	10607
24111	10911
80294	23275
57230	29115
68523	51647
330323	84182
66294	60343
19200	9051
76773	55093
193385	9750
216134	8566
215378	339479
11496	53616
70456	25874
215751	116254
27217	83881
211446	11336
12192	677
16848	3955
230162	7743
22022	8459
26557	9455
237213	2742
258334	285659
272411	192134
240028	4012
29808	23269
170676	23089
73086	9252
224897	91039
17192	53615
66366	51614
233902	54620
14842	219409
227624	55684
56220	162655
12345	832
14079	2169
18324	283159
258433	283159
66165	56647
67220	51177
12716	548596
12716	1159
15203	9843
246730	4938
23960	4938
14630	2730
57750	55759
432779	389257
320116	408263
72039	56922
57390	170680
11564	158
71799	100526740
18245	4946
64540	7106
56760	51266
432940	90268
74222	346288
11449	1146
12443	595
71653	57698
233064	284403
12555	1013
71693	78989
71983	55374
67484	80820
70356	6767
381759	494551
268822	203054
18647	5218
18223	9253
20021	5432
67184	51079
20204	51450
21357	6895
74919	54978
278304	100507656
100504285	145447
11448	1145
11858	8153
231912	84056
73284	115265
19013	5465
64685	9111
18508	5080
70118	402055
67035	11080
19324	5861
20129	126638
121022	64968
224250	56650
238803	167465
258961	390059
18432	10514
330286	57670
22088	7251
625249	2879
246133	9992
29813	25946
627191	646658
11909	1386
217684	9766
17355	4299
18551	54760
72008	84936
234373	10147
66797	26047
16432	9445
22334	7417
13076	1543
241073	391475
216439	116986
11643	8852
55961	6561
18682	5260
68092	22916
18101	4829
67123	51271
24108	10537
74287	56888
241116	255101
329274	148753
15425	3223
57911	284110
210029	284207
75623	93081
71703	51566
213234	79740
67845	27246
258640	10798
217695	53349
69860	84285
18631	8800
13644	10278
208922	22849
13805	2022
11484	443
217356	147138
212555	54896
14049	2139
16985	4046
66684	90843
213012	55347
271564	23230
24113	25806
235627	23218
234814	64779
21818	7053
13170	1628
58202	25920
224814	89845
72522	127002
226115	93377
18772	5317
12236	701
105855	3071
30927	333929
14672	2767
22640	162239
269870	55663
217463	23161
11465	71
217593	89874
22272	27089
12748	1196
50914	116448
211007	90933
77647	50852
26556	9456
18007	4756
69878	6636
333883	966
280408	83547
226075	169792
381974	386746
67009	64927
83557	79727
69329	154313
208154	151888
72654	151903
102634030	90592
628709	90592
665738	90592
100502880	90592
74841	84640
14268	2335
22354	7433
74485	149499
70020	83444
259279	10426
101809	399473
19344	5869
26420	5601
170460	80765
66260	113452
229004	26205
102093	5257
94191	105
74843	118490
16204	2172
66114	84277
14373	50486
319180	8339
57247	92822
11535	133
232670	340348
240913	9507
225471	353376
11546	10038
74840	7873
16136	3543
16136	100423062
19246	5770
12831	1289
51812	10445
72844	79734
102115	83475
80889	59274
382034	23199
83410	23283
20451	51046
54613	10402
16624	354
18050	354
16617	354
16622	354
16612	354
16615	354
16619	354
13648	354
16616	354
16618	354
18048	354
16613	354
16623	354
13646	354
23970	11252
108911	55920
13419	1773
381352	158056
76582	51194
52466	113235
22413	7472
11804	334
110075	651
69790	90390
640543	116179
69091	112936
83485	51335
52653	134492
75416	8602
66748	285141
52551	6449
56703	84720
319239	387129
18424	5015
68565	55168
108075	8425
16011	3488
103554	23198
18162	4883
238880	345651
22242	7369
77626	55627
69171	27013
212168	65249
227606	387332
320095	140873
76252	155066
74386	80010
252864	128853
238276	9495
269831	23554
18578	5142
64660	64951
56508	11069
19058	5534
13012	10047
78697	54517
68201	91057
218544	54557
15488	3295
18440	9127
14912	84504
213819	64921
76406	374877
109594	4004
94067	84545
329909	199964
67580	474354
29864	26994
72221	128602
171170	55796
243574	84541
69306	285588
54524	148281
18119	4838
19820	51132
70503	8528
78249	221393
16554	23303
66822	26260
102209	6618
71810	8498
20655	6647
224697	81794
386750	22865
19326	9230
18505	5077
233186	27181
83997	7871
232441	85004
57138	57468
65247	51665
243910	84807
23832	2829
18796	5330
93961	10317
75642	128497
319170	8969
14747	1240
68393	116255
93690	11250
66055	51639
22722	55734
17717	4536
100043684	280
100043688	280
100043686	280
109959	280
14726	10630
69310	135138
320256	9940
54351	23587
235312	114902
623474	25788
69459	84993
227357	339768
68566	50632
71911	622
213054	126626
14633	2736
320159	165186
19881	6094
11881	411
65973	444
239667	57609
407790	56901
213541	51441
238831	23398
11428	48
108653	57494
387355	50837
22693	22835
497113	122651
66132	9692
320938	23534
12715	1158
12649	1111
15567	6532
94190	4983
240756	59349
269336	90416
67967	10714
12338	827
235320	7704
12235	699
98238	55379
74450	80025
53951	253635
20840	6769
227700	56904
16372	153572
56200	9188
16646	3836
83486	10181
13384	4356
224860	23228
16950	84695
27403	10347
20493	6554
13113	1551
102640920	79037
